problem_name,n_objectives,method,selected,knee_error,KD,KGD,KIGD,supported_knee_count,all_knee_count,R_reported,R_validation,audit_gap
PMOP1,3,TAFR-meaningful-gain,True,0.0,0.22819265170287722,0.0,0.27865186003198444,4.0,4.0,0.3752371328259213,0.3752371328259213,0.0
PMOP1,3,equal,True,0.0,0.22819265170287722,0.0,0.27865186003198444,4.0,4.0,,0.4199480265512403,
PMOP1,3,CHIM-posthoc,False,,0.9268486938579928,0.5141073803944566,0.9213786399981193,4.0,4.0,,,
PMOP1,3,TPE-2024-grid,True,0.6905818755643177,0.9268486938579928,0.5141073803944566,0.9213786399981193,4.0,4.0,,0.0,
PMOP2,3,TAFR-meaningful-gain,False,,,,,0.0,4.0,,,
PMOP2,3,equal,True,0.5715594945818983,0.9065707610905238,0.3896508616903072,0.8618230379185873,0.0,4.0,,1.4037932946909668,
PMOP2,3,CHIM-posthoc,False,,0.8174720857035269,0.07551068007033926,0.8704702494887564,0.0,4.0,,,
PMOP2,3,TPE-2024-grid,True,0.6021503791416423,1.0462800530760397,0.4217009914747763,1.057251070174166,0.0,4.0,,0.0,
PMOP3,3,TAFR-meaningful-gain,True,0.11669933417091827,0.48995521675331155,0.0011407121956423553,0.497190808907205,4.0,4.0,0.17898330399034898,0.17898330399034898,0.0
PMOP3,3,equal,True,0.16348216384037711,0.35131125653983486,0.0010665375470114335,0.35176423932647655,4.0,4.0,,0.19294613757508078,
PMOP3,3,CHIM-posthoc,False,,0.9818275058386567,0.48318352694381944,0.9747350022758084,4.0,4.0,,,
PMOP3,3,TPE-2024-grid,True,0.03568003048782096,0.4164710646129508,0.0,0.43042200059016816,4.0,4.0,,0.11500852418922322,
PMOP4,3,TAFR-meaningful-gain,False,,,,,0.0,4.0,,,
PMOP4,3,equal,True,0.4060927229784399,0.7473487239393584,0.28106704459305476,0.7363407721004962,0.0,4.0,,1.3825006927959045,
PMOP4,3,CHIM-posthoc,False,,0.926988724368414,0.2995575163310687,0.9685571401641935,0.0,4.0,,,
PMOP4,3,TPE-2024-grid,True,0.4060927229784399,0.7473487239393584,0.28106704459305476,0.7363407721004962,0.0,4.0,,0.0,
PMOP5,3,TAFR-meaningful-gain,True,0.0,0.22237859663462017,0.0,0.2606536345974393,4.0,4.0,0.9987009449553855,0.9987009449553855,0.0
PMOP5,3,equal,True,0.0,0.22237859663462017,0.0,0.2606536345974393,4.0,4.0,,0.9987009449553855,
PMOP5,3,CHIM-posthoc,False,,0.7695952586218837,0.42943325038868874,0.7817514767673726,4.0,4.0,,,
PMOP5,3,TPE-2024-grid,True,0.5922767751286149,0.7435306286694889,0.45238351721978337,0.7347531572661054,4.0,4.0,,0.0,
